Chapter,Title,Yangzhou,Suzhou,Hangzhou,Nanjing,Beijing
35,聖天子求賢問道　莊徵君辭爵還家,3,0,0,7,3
36,常熟縣真儒降生　泰伯祠名賢主祭,0,1,0,11,1
37,祭先聖南京修禮　送孝子西蜀尋親,1,0,0,2,0
38,郭孝子深山遇虎　甘露僧狹路逢讎,0,0,0,2,2
39,蕭雲仙救難明月嶺　平少保奏凱青楓城,0,0,0,0,0
40,蕭雲仙廣武山賞雪　沈瓊枝利涉橋賣文,3,0,0,5,2
41,莊濯江話舊秦淮河　沈瓊枝押解江都縣,7,0,0,13,3
42,公子妓院說科場　家人苗疆報信息,2,0,0,6,0
43,野羊塘將軍大戰　歌舞地酋長劫營,1,0,0,0,0
44,湯總鎮成功歸故鄉　余明經把酒問葬事,4,0,0,3,0
45,敦友誼代兄受過　講堪輿回家葬親,0,1,0,9,0
46,三山門賢人餞別　五河縣勢利薰心,0,0,0,4,1
47,虞秀才重修元武閣　方鹽商大鬧節孝祠,1,0,0,1,0
48,徽州府烈婦殉夫　泰伯祠遺賢感舊,1,3,0,8,0
49,翰林高談龍虎榜　中書冒占鳳凰池,3,0,0,0,3
50,假官員當街出醜　真義氣代友求名,1,0,0,2,0
51,少婦騙人折風月　壯士高興試官刑,0,3,6,3,0
52,比武藝公子傷身　毀廳堂英雄討債,0,1,4,11,2
53,國公府雪夜留賓　來賓樓燈花驚夢,0,0,2,5,0
54,病佳人青樓算命　呆名士妓館獻詩,0,0,1,3,2
55,添四客述往思來　彈一曲高山流水,1,0,0,1,0
